paramID	id	dbh	height	CR	perc_exposed
6	135320	0.15	21.38	2.07	20
6	134057	0.34	28.26	3.21	82.61
6	134056	0.24	26.24	3.93	20.69
6	226733	0.1	17.12	2.51	0
6	81908	0.14	19.43	3.96	40
6	92157	0.32	28	2.91	0
6	92156	0.52	38.19	4.38	97.3
6	171715	0.11	20.18	1.81	0
6	134055	0.23	25.22	3.99	63.27
6	134218	0.19	19.87	2.33	0
6	93440	0.19	21.03	3.49	10.71
6	180463	0.11	17.47	2.35	0
6	182121	0.18	25.31	3.18	50
6	87416	0.14	20.44	1.6	0
6	226002	0.11	20.09	2.36	0
6	92158	0.25	27.67	4.39	33.33
6	179239	0.12	16.87	2.03	0
6	135463	0.26	21.77	2.56	83.33
6	135464	0.12	18.27	2.07	0
6	75422	0.19	20.92	2.46	9.09
6	81906	0.22	29.66	5.51	76.19
6	81726	0.31	20.94	1.89	0
6	86092	0.12	15.83	2.07	0
6	181052	0.16	24.76	3.56	45.95
6	93650	0.14	19.11	2.3	7.14
6	93435	0.29	25.65	3.8	96.43
6	93647	0.18	22.29	2.31	11.11
6	134216	0.41	29.24	3.41	94.44
6	76948	0.16	25.19	2.93	61.11
6	86090	0.25	26.15	2.06	7.69
6	135325	0.26	28.55	3.78	84.09
6	203778	0.11	21.73	1.99	0
6	180711	0.16	22.98	3.08	89.66
6	86088	0.14	23.34	2.37	0
6	86091	0.17	23.34	2.26	0
6	87345	0.12	18.05	1.68	0
6	86223	0.36	27.8	2.74	18.18
6	87189	0.18	23.11	2.8	38.46
6	135311	0.19	22.72	3.62	0
6	135313	0.22	26.12	4.09	97.22
6	134214	0.18	22.19	2.52	10.53
6	134222	0.39	32.65	5.82	26.76
6	134223	0.12	21.06	2.01	0
6	92295	0.27	24.94	3.91	87.23
6	236532	0.12	19.24	1.47	0
6	135110	0.33	23.47	3.19	50
6	134225	0.17	26.79	3.6	0
6	134224	0.45	35.66	5.41	90.48
6	173090	0.14	25.79	2.3	6.25
6	76976	0.25	26.58	3.13	0
6	81825	0.41	30.63	2.8	83.33
6	80951	0.28	30.63	3.29	85.29
6	80956	0.29	31.87	2.7	66.67
6	80957	0.19	26.9	2.98	11.76
6	86950	0.32	29.96	4.99	84.62
6	87187	0.18	19.32	2.93	0
6	173242	0.13	21.49	3.3	0
6	180824	0.12	16.75	1.79	10
6	93648	0.12	22.7	1.8	0
6	135045	0.25	22.48	4.73	20
6	135160	0.31	26.36	4.45	75.81
6	76953	0.12	21.92	2.24	0
6	180603	0.12	20.33	2.04	0
6	183725	0.11	18.87	2.02	0
6	81722	0.27	31.4	2.07	75
6	87268	0.19	22.73	2.98	0
6	86221	0.58	30.23	3.64	75.61
6	86874	0.46	38.35	5.14	80.95
6	173320	0.14	18.94	3.1	0
6	93421	0.28	25.37	4.42	64.15
6	92446	0.27	29.68	2.77	94.74
6	184649	0.12	18.52	2.65	0
6	182112	0.14	20.99	1.78	0
6	134221	0.24	25.54	2.82	45.83
6	135163	0.36	31.37	5.21	27.38
6	134226	0.11	20.11	1.78	0
6	75273	0.14	21.9	2.22	73.33
6	80950	0.2	22.29	2.71	0
6	81724	0.21	32.8	5.1	69.23
6	86220	0.34	29.93	3.77	43.18
6	86224	0.41	35.37	3.33	100
6	87460	0.11	17.09	2.06	0
6	87086	0.18	21.5	2.92	0
6	92161	0.22	26.04	5.04	91.78
6	93763	0.14	19.77	2.16	7.14
6	179692	0.11	16.8	1.3	0
6	183979	0.11	22.3	2.02	0
6	93239	0.18	22.48	2.15	7.14
6	93533	0.4	27.64	5.36	73.58
6	135497	0.18	23.4	3.59	50
6	134213	0.17	27.02	1.96	75
6	134228	0.42	32.37	4.75	54.29
6	134227	0.12	19.82	1.97	0
6	75272	0.15	19.47	1.61	50
6	225779	0.11	18.68	1.81	80
6	76993	0.18	20	1.21	0
6	76391	0.13	20.54	2.24	0
6	81794	0.31	25.11	6.41	38.28
6	81909	0.16	20.41	1.03	33.33
6	81096	0.23	27.69	3.39	10
6	86093	0.16	23.21	2.22	6.67
6	87188	0.15	20.86	1.85	0
6	86225	0.21	29.08	3.24	39.39
6	87085	0.33	28.58	5.56	81.11
6	92162	0.24	25.41	2.87	4
6	93531	0.13	21.59	2.94	25.93
6	92293	0.29	26.26	2.06	30.77
6	93530	0.14	18.7	2.29	0
6	92300	0.22	27.08	4.7	72.46
6	135326	0.22	26.96	2.23	100
6	237308	0.18	25.56	2.97	0
6	134404	0.4	29.99	6.5	69.41
6	80958	0.3	34.13	1.88	100
6	87088	0.19	23.18	2.73	0
6	87266	0.18	26.37	3.32	0
6	183978	0.12	21.57	2.89	0
6	226006	0.11	15.58	1.2	0
6	179240	0.17	27.21	3.02	85.71
6	135317	0.2	23.97	3.26	0
6	135315	0.28	24.55	3.71	4.65
6	135109	0.28	24.4	3.55	35.9
