paramID	id	dbh	height	CR	perc_exposed
7	135320	0.15	23.43	2.61	28.57
7	134057	0.34	28.69	3.32	79.17
7	134056	0.24	27.74	3.76	10.71
7	226733	0.1	17.75	2.23	0
7	81908	0.14	19.11	4.11	37.04
7	92157	0.32	35.01	3.64	7.14
7	92156	0.52	39.48	4.17	100
7	171715	0.11	19.5	1.82	0
7	134055	0.23	27.02	3.94	52.08
7	134218	0.19	21.63	2.24	0
7	93440	0.19	23.12	3.95	48.48
7	180463	0.11	20.56	2.26	0
7	182121	0.18	26.93	3.25	44.83
7	87416	0.14	18.96	2.36	23.08
7	226002	0.11	19.06	3.06	0
7	92158	0.25	29.04	4.18	34
7	179239	0.12	17.36	2.58	0
7	135463	0.26	23.7	3.27	89.47
7	135464	0.12	16.9	1.34	0
7	75422	0.19	26.28	2.44	63.64
7	81906	0.22	23.91	1.54	0
7	81726	0.31	29.31	5.34	85.96
7	86092	0.12	18.02	1.95	0
7	181052	0.16	23.26	3.5	22.22
7	93650	0.14	21.06	4.23	74.36
7	93435	0.29	20.9	2.91	29.41
7	93647	0.18	24.29	2.32	100
7	134216	0.41	29.7	4.51	84.13
7	76948	0.16	23.45	2.8	52.94
7	86090	0.25	22.67	1.99	8.33
7	135325	0.26	28.53	5.05	59.49
7	203778	0.11	19.58	2.23	0
7	180711	0.16	23.07	3.53	87.18
7	86088	0.14	21.74	2.31	6.25
7	86091	0.17	24.37	2.65	9.09
7	87345	0.12	18.42	2.1	0
7	86223	0.36	27.8	3.44	33.33
7	87189	0.18	23.66	3.25	64.71
7	135311	0.19	23.18	4	34.62
7	135313	0.22	23.56	4.32	43.59
7	134214	0.18	25.36	1.66	0
7	134222	0.39	33.95	4.23	48.78
7	134223	0.12	20.85	2.02	0
7	92295	0.27	26.2	3.1	93.33
7	236532	0.12	20.66	1.79	20
7	135110	0.33	25.96	3.99	74
7	134225	0.17	26.54	3.04	0
7	134224	0.45	36.74	3.96	94.74
7	173090	0.14	20.43	2.27	68.75
7	76976	0.25	28.66	3.57	0
7	81825	0.41	23.99	2.77	0
7	80951	0.28	29.26	5.31	82.5
7	80956	0.29	32.14	5.69	65.15
7	80957	0.19	25.37	2.4	0
7	86950	0.32	29.89	4.25	85.71
7	87187	0.18	21.42	3.11	0
7	173242	0.13	20.4	3.01	3.57
7	180824	0.12	18.5	1.92	0
7	93648	0.12	20.91	2.47	0
7	135045	0.25	22.54	4.39	5
7	135160	0.31	25.34	4.19	83.64
7	76953	0.12	20.55	2.22	0
7	180603	0.12	20.69	2.23	0
7	183725	0.11	21.5	2.73	0
7	81722	0.27	33.94	4.11	82.05
7	87268	0.19	22.29	3.12	0
7	86221	0.58	27.36	3.94	43.75
7	86874	0.46	30.22	8.34	40.91
7	173320	0.14	19.84	2.28	0
7	93421	0.28	24.94	4.66	78.95
7	92446	0.27	27.18	2.59	58.82
7	184649	0.12	19.4	2.02	0
7	182112	0.14	19.16	1.63	0
7	134221	0.24	26.52	2.73	91.3
7	135163	0.36	25.09	4.89	8
7	134226	0.11	18.7	1.78	0
7	75273	0.14	22.43	2.35	94.12
7	80950	0.2	23.22	2.9	7.69
7	81724	0.21	19.95	1.5	0
7	86220	0.34	28.45	3.74	70.45
7	86224	0.41	31.16	4.07	94.23
7	87460	0.11	15.24	1.32	0
7	87086	0.18	21.42	2.33	0
7	92161	0.22	28.35	4.7	79.69
7	93763	0.14	17.62	1.51	0
7	179692	0.11	18.62	1.54	0
7	183979	0.11	20.42	2.46	0
7	93239	0.18	22.77	2.28	6.25
