"","Estimate","Est.Error","Q2.5","Q97.5"
"7956",27.3483967269586,3.00383556443648,21.4443092304897,33.2629415311852
"7957",30.1658509776287,3.0448929020607,24.0557173958609,36.1261041188811
"7958",30.3789877955574,3.0704811505774,24.4740362138969,36.4003403313649
"7959",24.5565621569892,3.01978371357533,18.726320895906,30.4785612637124
"7960",28.8415080178708,3.11041563656578,22.7951184486506,34.9559770380748
"7961",33.0084840222432,3.03506772970005,27.0113499605179,38.8432845475865
"7962",27.0149231885939,3.09474070562397,21.0578606190692,33.0274719224313
"7963",28.5146504429046,3.09600430067365,22.3345198912505,34.6058169270758
"7964",25.3425948297702,3.03675468278912,19.3100388037524,31.206957207324
"7965",25.4545197931501,3.08941639970525,19.3728256867623,31.5364167451653
"7966",26.3142827764488,3.08091846502072,20.2920163046109,32.2890296754866
"7967",28.5081428574098,3.10588050509435,22.3759480489616,34.3649358147012
"7968",30.7952860101706,3.04165673932705,24.8067139557816,36.7413590220557
"7969",30.497632159743,3.0865634506055,24.4496777698429,36.5826054438887
"7970",31.6387596753863,3.04797677605716,25.4782414319518,37.4684995794999
"7971",33.3886966286445,3.08276606243654,27.3816328053376,39.4285310203461
"7972",25.764474526538,3.03449389092163,19.8017698468619,31.6124495585187
"7973",31.5758370559244,3.00754947978749,25.6901089269267,37.5951231796325
"7974",28.4626373735407,3.0930194225579,22.4769895917538,34.386708867646
"7975",28.5161369800746,3.04359588676791,22.4503002491046,34.5732833543718
"7976",32.0504639086964,3.03276929770633,26.2541166905178,37.9785891285159
"7977",28.2840120770401,3.11064870948505,22.1595845605764,34.3672992389962
"7978",27.8756760814837,3.05090001311888,21.9560200049035,33.7493350809217
"7979",35.9357578480953,3.05139899502821,30.037090528154,41.928830302433
"7980",31.6997116468238,3.08147001627605,25.6985679885733,37.7814567734633
"7981",25.3637309450587,3.05872900204444,19.3874316642254,31.3131342164539
"7982",34.3552660526095,3.01296958730366,28.4620401640748,40.2636713220574
"7983",30.4977173727781,3.02007362322778,24.5412247718051,36.485071399822
"7984",29.263854336392,3.06503862115262,23.2794182972501,35.2819605193971
"7985",30.8531150651765,3.00464072277083,25.0121956704097,36.669330357649
"7986",36.8628591139163,3.04615159553857,30.6806881837342,42.7615698131954
"7987",25.2051592491416,3.0133703626541,19.3398294018148,31.0917750994991
"7988",25.6201837981436,3.04186564593631,19.5833589903058,31.6473612504105
"7989",28.544263946236,3.08011559733139,22.5507727616662,34.6220677818188
"7990",29.2250403863779,3.04215451750667,23.1961170512248,35.1143269455881
"7991",30.6521366779045,3.07390713523574,24.5913507939822,36.7042137058339
"7992",28.7239505860194,3.06946900480672,22.7603489737975,34.7398576957591
"7993",32.4831471693569,3.03042353666594,26.5468366602005,38.40991145311
"7994",30.4059792848045,3.01173014421339,24.4919926561708,36.2963926935609
"7995",31.3966269761289,3.08041261725621,25.4112977567248,37.412496527258
"7996",29.030880235947,3.06316216378415,23.1164164917485,35.0228722892708
"7997",27.698111383342,3.05785451523029,21.8006526355223,33.6257365471073
"7998",33.2647716933562,3.08070278359361,27.2990621136806,39.2742010087442
"7999",27.5770622502118,2.99888121983791,21.79485194912,33.4808054674994
"8000",25.0050425280613,3.06847288732239,19.0103777415078,31.0293381362863
"8001",33.0421248470637,3.04500711280527,27.0440197742994,38.9654881894004
"8002",25.6568065714604,3.0846547481996,19.5012982349225,31.6408067400229
"8003",34.3340287563705,3.07620539877119,28.313132057594,40.4633571061669
"8004",25.5955339523404,3.09711934994941,19.5929557911326,31.7108654557466
"8005",32.3051371365172,3.0663041811436,26.2517615876466,38.3552920802343
"8006",31.2421334084983,3.04728856539641,25.1786432629921,37.0904080360832
"8007",31.5705786162019,3.02181193152205,25.7027886758906,37.5290475720846
"8008",29.5072882123485,3.04151909637636,23.5474804387015,35.3817005289547
"8009",32.3800829010717,2.99158255491929,26.4312786889424,38.1742531392738
"8010",30.9489522060937,3.08015941209807,24.9211688012938,37.1164747748878
"8011",30.4064867100706,3.07323046805003,24.4653276965355,36.3977449161844
"8012",31.4567564682103,2.98884643165424,25.6306140444916,37.3506526008868
"8013",31.6606289470831,3.04343797541706,25.7452807122339,37.6396972304605
"8014",36.9586384214063,3.08861638789807,30.851421992282,42.9559776575368
"8015",26.2013707490837,3.05098345460326,20.1840651880931,32.1722908600147
"8016",34.3954458177453,3.07657759957542,28.3345823297672,40.4969926010156
"8017",24.7792083910617,3.05686661471446,18.8682350638766,30.7512255240704
"8018",31.2390538464556,3.04928205973235,25.2653673741981,37.2390354424644
"8019",26.8919490437559,3.01391665495675,21.1132484312892,32.7177021885351
"8020",28.6931268954338,3.10838939041862,22.5355610550251,34.7259749855037
"8021",25.4114876118148,3.0444866119258,19.5403546965088,31.374030441137
"8022",27.6209247453983,3.06468621642686,21.6629129244678,33.5546277292086
"8023",27.2766430805339,3.08144822567542,21.2199059884945,33.2741540816327
"8024",32.6005644958649,3.06685083166188,26.5855007465803,38.6293748120675
"8025",27.66444043092,3.06238891158752,21.6202291938066,33.7914100960929
"8026",31.3870547479695,3.05975825261292,25.4106981693078,37.3897031721719
"8027",27.9968548095556,3.09141929070986,21.8903880807054,34.0139703733275
"8028",29.2859045149787,3.05767164000206,23.1639851016309,35.2863164938823
"8029",32.6761118695725,3.03145851728111,26.7239138113993,38.510539817559
"8030",29.5554825496848,3.07799579391784,23.4770474728876,35.629231691529
"8031",25.6616564572129,3.04181725132261,19.7121650199719,31.6496505145959
"8032",27.8418288946404,3.02872789713967,21.8604235204804,33.7315776023366
"8033",27.6490064378016,3.04701673500399,21.6160128202237,33.4896801183328
"8034",26.7349577650331,3.02952586698849,20.8349258199401,32.7173150095887
"8035",31.0260076471318,3.05117369549213,24.9574625634053,37.0703870912572
"8036",26.2611677156455,3.03179851929086,20.3258458342934,32.2013820689312
"8037",27.3653233238851,3.08460267391332,21.4879454463376,33.4375666237041
"8038",29.8813171719163,3.03773915557599,23.865788533389,35.811685169318
"8039",28.1131598450785,3.07456407104028,22.1218352934897,34.0943370081625
"8040",28.3250748076513,3.04646763379615,22.3901838665815,34.3490794763737
"8041",32.7557406493804,3.01515127812376,26.8706648511009,38.6286787029194
"8042",29.0992591800803,3.07365460499874,23.0784907048007,35.2167673895643
"8043",30.6714408304968,3.07584667588976,24.6434972601308,36.5821913982469
