paramID	id	dbh	height	CR	perc_exposed
10	135320	0.15	22.83	2.2	27.27
10	134057	0.34	29.61	3.93	87.1
10	134056	0.24	27.41	3.44	4.17
10	226733	0.1	17.53	2.38	0
10	81908	0.14	20.62	1.16	0
10	92157	0.32	39.2	3.73	6.9
10	92156	0.52	41.36	4.53	100
10	171715	0.11	22.37	1.98	0
10	134055	0.23	26.4	3.73	60.47
10	134218	0.19	21.76	1.59	0
10	93440	0.19	22.23	3.28	46.15
10	180463	0.11	22.51	2.8	0
10	182121	0.18	26.06	3.12	25.93
10	87416	0.14	18.26	1.71	0
10	226002	0.11	17.78	3.11	0
10	92158	0.25	28.54	4.39	29.63
10	179239	0.12	19.9	2.12	0
10	135463	0.26	23.41	2.65	100
10	135464	0.12	19.11	1.55	0
10	75422	0.19	24.12	2.01	0
10	81906	0.22	23.86	1.53	0
10	81726	0.31	29.27	5.18	83.33
10	86092	0.12	19.87	1.67	0
10	181052	0.16	20.25	1.8	0
10	93650	0.14	22.02	2.75	11.11
10	93435	0.29	24.58	3.75	89.29
10	93647	0.18	24.55	2.27	66.67
10	134216	0.41	28.81	5.17	86.59
10	76948	0.16	25.75	2.69	93.75
10	86090	0.25	30.23	3.47	70.27
10	135325	0.26	28	3.9	59.57
10	203778	0.11	20	2.42	0
10	180711	0.16	23.1	3.5	92.11
10	86088	0.14	25.53	2.18	0
10	86091	0.17	25.14	2.76	0
10	87345	0.12	16.04	1.78	0
10	86223	0.36	28.04	3.74	13.89
10	87189	0.18	23.34	2.89	76.92
10	135311	0.19	21.38	3.39	0
10	135313	0.22	24.8	5.32	80.36
10	134214	0.18	20.46	2.07	0
10	134222	0.39	35.54	4.75	56
10	134223	0.12	22.07	2.29	0
10	92295	0.27	26.99	4.22	83.93
10	236532	0.12	19.38	1.68	12.5
10	135110	0.33	25.3	2.68	63.64
10	134225	0.17	26.79	3.81	0
10	134224	0.45	36.93	4.41	84.44
10	173090	0.14	20.12	1.75	55.56
10	76976	0.25	28.66	3.53	23.33
