paramID	id	dbh	height	CR	perc_exposed
8	135320	0.15	21.15	2.16	18.18
8	134057	0.34	28.23	3.31	62.5
8	134056	0.24	26.51	4	9.68
8	226733	0.1	16.4	1.86	0
8	81908	0.14	22.8	2.34	55.56
8	92157	0.32	30.15	2.98	0
8	92156	0.52	38.9	4.03	96.77
8	171715	0.11	18.93	1.87	0
8	134055	0.23	28.38	4.55	57.14
8	134218	0.19	22.18	2.33	0
8	93440	0.19	22.07	3.94	3.03
8	180463	0.11	22.65	2.13	25
8	182121	0.18	25.13	4.18	30.23
8	87416	0.14	18.81	1.97	0
8	226002	0.11	21.65	2.51	0
8	92158	0.25	27.49	3.83	34.09
8	179239	0.12	20.88	1.74	0
8	135463	0.26	23.05	2.71	92.86
8	135464	0.12	21.02	1.89	0
8	75422	0.19	23.23	2.4	0
8	81906	0.22	27.55	5.94	22.54
8	81726	0.31	29.54	5.78	81.82
8	86092	0.12	19.7	1.41	0
8	181052	0.16	24.46	4.03	46.81
8	93650	0.14	21.26	3.3	16
8	93435	0.29	25.41	3.75	92.86
8	93647	0.18	22.8	1.63	0
8	134216	0.41	29.3	4.75	80
8	76948	0.16	23.65	2.08	0
8	86090	0.25	29.28	3.47	51.35
8	135325	0.26	29.46	4.55	80
8	203778	0.11	19.84	2.82	0
8	180711	0.16	22.56	3.95	81.63
8	86088	0.14	23	1.97	0
8	86091	0.17	23.37	2.29	0
8	87345	0.12	17.17	1.6	0
8	86223	0.36	29.59	3.6	5.71
8	87189	0.18	23.39	3.26	47.06
8	135311	0.19	23.04	3.86	70.83
8	135313	0.22	21.55	2.85	0
8	134214	0.18	22.16	1.93	0
8	134222	0.39	32.42	4.55	32.61
8	134223	0.12	19.67	2.05	0
8	92295	0.27	27.7	3.41	100
8	236532	0.12	18.46	0.97	0
8	135110	0.33	24.85	3.6	70
8	134225	0.17	25.83	3.06	0
8	134224	0.45	36.72	3.93	94.59
8	173090	0.14	26.22	3.4	88.89
8	76976	0.25	25.64	3.37	0
8	81825	0.41	24.72	3.23	0
8	80951	0.28	28.88	4.34	77.19
8	80956	0.29	34.63	2.71	100
8	80957	0.19	27.31	2.14	0
8	86950	0.32	29.64	4.61	59.09
8	87187	0.18	20.44	2.73	0
8	173242	0.13	22.49	3.07	0
8	180824	0.12	17.64	1.55	14.29
8	93648	0.12	21.99	3.18	19.35
8	135045	0.25	22.76	3.55	10.26
8	135160	0.31	25.4	4.25	69.64
8	76953	0.12	20.69	2.36	0
8	180603	0.12	20.66	2.05	0
8	183725	0.11	19.12	1.99	0
8	81722	0.27	31.31	4.81	47.06
8	87268	0.19	21.69	3.08	0
8	86221	0.58	32.54	4.44	83.61
8	86874	0.46	38.87	6.16	83.33
8	173320	0.14	19.62	2.01	0
8	93421	0.28	23.39	4.76	41.67
8	92446	0.27	29.53	3.36	92
8	184649	0.12	20.44	2.82	4.17
8	182112	0.14	23.65	2.5	0
8	134221	0.24	25.91	3.05	93.1
8	135163	0.36	23.26	4.01	8
8	134226	0.11	19.18	1.87	0
8	75273	0.14	22.22	2.33	100
8	80950	0.2	28.6	3.18	9.68
8	81724	0.21	32.71	3.79	75.56
8	86220	0.34	30.62	3.08	3.45
8	86224	0.41	32.94	3.27	96.97
8	87460	0.11	16.94	1.14	0
8	87086	0.18	20.76	2.64	0
8	92161	0.22	25.8	3.23	56.25
8	93763	0.14	17.91	1.68	0
8	179692	0.11	16.37	1.38	0
8	183979	0.11	19.57	2.29	0
8	93239	0.18	20.47	1.58	0
8	93533	0.4	29.82	5.15	91.67
8	135497	0.18	24.72	2.83	76
8	134213	0.17	24.18	2.35	41.18
8	134228	0.42	33.32	3.95	75
8	134227	0.12	20.41	1.99	0
8	75272	0.15	20.2	1.8	70
8	225779	0.11	19.23	1.92	81.82
8	76993	0.18	24.65	2.08	0
8	76391	0.13	20.28	2.18	0
8	81794	0.31	26.08	4.65	55.22
8	81909	0.16	16.7	2.91	0
8	81096	0.23	30.28	3.27	3.57
8	86093	0.16	23.29	2.79	16.67
8	87188	0.15	20.92	3.02	0
8	86225	0.21	22.47	2.05	0
8	87085	0.33	27.9	4.83	83.33
8	92162	0.24	25.98	5.74	92.93
8	93531	0.13	22.37	2.95	48.15
8	92293	0.29	24.12	2.06	7.69
8	93530	0.14	17.94	1.81	0
8	92300	0.22	29.46	4.03	66.67
8	135326	0.22	23.57	2.33	76.47
8	237308	0.18	27.69	3.53	12.82
8	134404	0.4	28.63	5.98	59.72
8	80958	0.3	30.62	2.18	64.29
8	87088	0.19	23.15	2.67	0
8	87266	0.18	27.73	2.72	0
8	183978	0.12	21.12	2.99	0
8	226006	0.11	14.3	1.78	22.22
